accessToSubscriberContent | Offset: 8377CC60
facebook_friends_refresh_time | Offset: 8376D37C

facebook_friends_retry_step | Offset: 8376D338

facebook_friends_showing_count | Offset: 8376E4C0

facebook_friends_throttle_time | Offset: 8376D3C0

facebook_max_retry_time | Offset: 8376D26C

facebook_password | Offset: 8376E3F4

facebook_password_asterisk | Offset: 8376E438

facebook_popup_text | Offset: 8376E47C

facebook_posting_popup_text | Offset: 8376E69C

facebook_retry_step | Offset: 8376D2B0

facebook_upload_photo_active | Offset: 8376D48C

facebook_upload_video_active | Offset: 8376D448

facebook_username | Offset: 8376E3B0

fixedtime | Offset: 83761C34

FoFIconMaxSize | Offset: 837769D4

FoFIconMinSize | Offset: 83776990

FoFIconScale | Offset: 8377694C

FoFIconSpawnTimeDelay | Offset: 83776A18

FoFIconSpawnTimeFade | Offset: 83776A5C

fx_alphaThreshold | Offset: 83765F24

fx_count | Offset: 83765C38

fx_cull_elem_draw | Offset: 83765AA0

fx_cull_elem_spawn | Offset: 83765A5C

fx_debugBolt | Offset: 83765BF4

fx_deferelem | Offset: 83765E58

fx_draw | Offset: 83765990

fx_draw_omniLight | Offset: 83765A18

fx_draw_simd | Offset: 83765E9C

fx_draw_spotLight | Offset: 837659D4

fx_drawClouds | Offset: 83765E14

fx_enable | Offset: 8376594C

fx_freeze | Offset: 83765BB0

fx_killEffectOnRewind | Offset: 83765EE0

fx_mark_profile | Offset: 83765DD0

fx_marks | Offset: 83765AE4

fx_marks_ents | Offset: 83765B6C

fx_marks_smodels | Offset: 83765B28

fx_profile | Offset: 83765D8C

fx_profileFilter | Offset: 83765D48

fx_profileSkip | Offset: 83765D04

fx_profileSort | Offset: 83765CC0

fx_visMinTraceDist | Offset: 83765C7C

g_allowvote | Offset: 8377BCB4

g_banIPs | Offset: 8377CFD4

g_clonePlayerMaxVelocity | Offset: 8377D27C

g_compassShowEnemies | Offset: 83776BB0

g_deadChat | Offset: 8377D304

g_dropForwardSpeed | Offset: 8377D16C

g_dropHorzSpeedRand | Offset: 8377D238

g_dropUpSpeedBase | Offset: 8377D1B0

g_dropUpSpeedRand | Offset: 8377D1F4

g_earthquakeEnable | Offset: 8377DBC8

g_fogColorReadOnly | Offset: 8377DEB4

g_fogHalfDistReadOnly | Offset: 8377DF3C

g_fogMaxOpacityReadOnly | Offset: 8377DF80

g_fogStartDistReadOnly | Offset: 8377DEF8

g_friendlyfireDist | Offset: 8377D8DC

g_friendlyNameDist | Offset: 8377D920

g_gametype | Offset: 8376EA54

g_giveAll | Offset: 8377DDA4

g_hardcore | Offset: 83767860

g_inactivity | Offset: 8377D0A0

g_knockback | Offset: 8377D018

g_listEntity | Offset: 8377D2C0

g_mantleBlockTimeBuffer | Offset: 8377DC0C

g_maxDroppedWeapons | Offset: 8377D05C

g_minGrenadeDamageSpeed | Offset: 8377DA74

g_motd | Offset: 8377D0E4

g_password | Offset: 8377CF90

g_playerCollisionEjectSpeed | Offset: 8377D128

g_radiusDamageMax | Offset: 8377DB84

g_redCrosshairs | Offset: 8377DB40

g_ScoresColor_Allies | Offset: 8377D700

g_ScoresColor_Axis | Offset: 8377D744

g_ScoresColor_EnemyTeam | Offset: 8377D634

g_ScoresColor_Free | Offset: 8377D6BC

g_ScoresColor_MyParty | Offset: 8377D5F0

g_ScoresColor_MyTeam | Offset: 8377D5AC

g_ScoresColor_Spectator | Offset: 8377D678

g_sunFogBeginFadeAngleReadOnly | Offset: 8377E090

g_sunFogColorReadOnly | Offset: 8377E008

g_sunFogDirReadOnly | Offset: 8377E04C

g_sunFogEnabledReadOnly | Offset: 8377DFC4

g_sunFogEndFadeAngleReadOnly | Offset: 8377E0D4

g_sunFogScaleReadOnly | Offset: 8377E118

g_TeamIcon_Allies | Offset: 8377D38C

g_TeamIcon_Axis | Offset: 8377D3D0

g_TeamIcon_EnemyAllies | Offset: 8377D524

g_TeamIcon_EnemyAxis | Offset: 8377D568

g_TeamIcon_Free | Offset: 8377D414

g_TeamIcon_MyAllies | Offset: 8377D49C

g_TeamIcon_MyAxis | Offset: 8377D4E0

g_TeamIcon_Spectator | Offset: 8377D458

g_TeamName_Allies | Offset: 8377D788

g_TeamName_Axis | Offset: 8377D7CC

g_TeamTitleColor_EnemyTeam | Offset: 8377D854

g_TeamTitleColor_MyTeam | Offset: 8377D810

g_TeamTitleColor_Spectator | Offset: 8377D898

g_useholdspawndelay | Offset: 8377DAFC

g_useholdtime | Offset: 8377DAB8

g_voiceChatTalkingDuration | Offset: 8377D348

gameMode | Offset: 8376EA10

glass_angular_vel | Offset: 83765FF0

glass_break | Offset: 83765F68

glass_damageToDestroy | Offset: 8378002C

glass_damageToWeaken | Offset: 8377FFE8

glass_edge_angle | Offset: 83766034

glass_fall_delay | Offset: 837660BC

glass_fall_gravity | Offset: 83766100

glass_fall_ratio | Offset: 83766078

glass_fringe_maxcoverage | Offset: 837662DC

glass_fringe_maxsize | Offset: 83766298

glass_fx_chance | Offset: 83766144

glass_hinge_friction | Offset: 83766188

glass_linear_vel | Offset: 83765FAC

glass_max_pieces_per_frame | Offset: 837661CC

glass_max_shatter_fx_per_frame | Offset: 83766210

glass_meleeDamage | Offset: 83780070

glass_physics_chance | Offset: 83766364

glass_physics_maxdist | Offset: 837663A8

glass_radiusDamageMultiplier | Offset: 837800B4

glass_shard_maxsize | Offset: 83766254

glass_shattered_scale | Offset: 837663EC

glass_trace_interval | Offset: 83766320

gpad_button_deadzone | Offset: 8376E7AC

gpad_button_lstick_deflect_max | Offset: 83766650

gpad_button_rstick_deflect_max | Offset: 8376660C

gpad_dpadDebounceTime | Offset: 8376E988

gpad_menu_scroll_delay_first | Offset: 8376E900

gpad_menu_scroll_delay_rest | Offset: 8376E944

gpad_stick_deadzone_max | Offset: 8376E834

gpad_stick_deadzone_min | Offset: 8376E7F0

gpad_stick_pressed | Offset: 8376E878

gpad_stick_pressed_hysteresis | Offset: 8376E8BC

grenadeBounceRestitutionMax | Offset: 8377FFA4

grenadeBumpFreq | Offset: 8377FD84

grenadeBumpMag | Offset: 8377FDC8

grenadeBumpMax | Offset: 8377FE0C

grenadeCurveMax | Offset: 8377FF60

grenadeFrictionHigh | Offset: 8377FCFC

grenadeFrictionLow | Offset: 8377FCB8

grenadeFrictionMaxThresh | Offset: 8377FD40

grenadeRestThreshold | Offset: 8377FC30

grenadeRollingEnabled | Offset: 8377FC74

grenadeWobbleFreq | Offset: 8377FE50

grenadeWobbleFwdMag | Offset: 8377FE94

grenadeWobbleSideDamp | Offset: 8377FF1C

grenadeWobbleSideMag | Offset: 8377FED8

groupDownloadInterval | Offset: 8376E5D0

groupUploadInterval | Offset: 8376E58C

heli_barrelMaxVelocity | Offset: 83776B28

heli_barrelRotation | Offset: 83776AE4

heli_barrelSlowdown | Offset: 83776B6C

hiDef | Offset: 83761E54

hud_bloodOverlayLerpRate | Offset: 83779168

hud_deathQuoteFadeTime | Offset: 83779124

hud_fade_ammodisplay | Offset: 83778EC0

hud_fade_compass | Offset: 83778F48

hud_fade_healthbar | Offset: 83778F04

hud_fade_offhand | Offset: 83778F8C

hud_fade_sprint | Offset: 83778FD0

hud_flash_period_offhand | Offset: 83773F98

hud_flash_time_offhand | Offset: 83773F54

hud_health_pulserate_critical | Offset: 837790E0

hud_health_pulserate_injured | Offset: 8377909C

hud_health_startpulse_critical | Offset: 83779058

hud_health_startpulse_injured | Offset: 83779014

hudElemPausedBrightness | Offset: 83775D14

intro | Offset: 83761DCC

iwnet_sessionFullHeartbeat | Offset: 8376C524

iwnet_sessionHeartbeat | Offset: 8376C4E0

koth_autodestroytime | Offset: 837689A4

koth_capturetime | Offset: 83768A70

koth_delayPlayer | Offset: 83768AF8

koth_destroytime | Offset: 83768AB4

koth_extraDelay | Offset: 83768B80

koth_kothmode | Offset: 83768A2C

koth_proMode | Offset: 83768BC4

koth_spawnDelay | Offset: 83768B3C

koth_spawntime | Offset: 837689E8

laserDebug | Offset: 83776374

laserEndOffset | Offset: 837762EC

laserFlarePct | Offset: 83776330

laserFlarePct_alt | Offset: 83776484

laserLight | Offset: 83776154

laserLightBeginOffset | Offset: 83776264

laserLightBodyTweak | Offset: 837761DC

laserLightEndOffset | Offset: 837762A8

laserLightRadius | Offset: 83776220

laserLightRadius_alt | Offset: 83776440

laserLightWithoutNightvision | Offset: 83776198

laserRadius | Offset: 83776110

laserRadius_alt | Offset: 837763FC

laserRange | Offset: 83776088

laserRange_alt | Offset: 837763B8

laserRangePlayer | Offset: 837760CC

lb_filter | Offset: 8376C810

lb_maxrows | Offset: 8376C854

lb_minrefresh | Offset: 8376C7CC

lb_readDelay | Offset: 8376C898

live_qosec_firstupdatems | Offset: 8376CDA4

live_qosec_lastupdatems | Offset: 8376CDE8

live_qosec_maxtime | Offset: 8376CE2C

live_qosec_minpercent | Offset: 8376CD60

live_qosec_minprobes | Offset: 8376CD1C

liveanticheatunknowndvar | Offset: 83766540

loading_sre_fatal | Offset: 8376E9CC

lobby_animationSpeed | Offset: 8377C864

lobby_animationTilesHigh | Offset: 8377C8EC

lobby_animationTilesWide | Offset: 8377C8A8

lobby_numAnimationFrames | Offset: 8377C820

lobby_searchingPartyColor | Offset: 8377C798

loc_forceEnglish | Offset: 8376B2D0

loc_language | Offset: 8376B28C

loc_translate | Offset: 8376B314

lowAmmoWarningColor1 | Offset: 83774EBC

lowAmmoWarningColor2 | Offset: 83774F00

lowAmmoWarningNoAmmoColor1 | Offset: 83775098

lowAmmoWarningNoAmmoColor2 | Offset: 837750DC

lowAmmoWarningNoReloadColor1 | Offset: 83775010

lowAmmoWarningNoReloadColor2 | Offset: 83775054

lowAmmoWarningPulseFreq | Offset: 83774F44

lowAmmoWarningPulseMax | Offset: 83774F88

lowAmmoWarningPulseMin | Offset: 83774FCC

lsp_debug | Offset: 8376C6BC

m_filter | Offset: 8376FCEC

m_forward | Offset: 8376FC64

m_pitch | Offset: 8376FBDC

m_side | Offset: 8376FCA8

m_yaw | Offset: 8376FC20

mantle_check_radius | Offset: 837783DC

mantle_max_vertical_end_velocity | Offset: 83778464

mantle_view_yawcap | Offset: 83778420

mapname | Offset: 8376EADC

matchdata_active | Offset: 8376DF70

matchmaking_debug | Offset: 8376C49C

melee_debug | Offset: 8377DDE8

migration_dvarErrors | Offset: 8376E768

missileExplosionLiftDistance | Offset: 8377FBA8

missileGlassShatterVel | Offset: 8377F5D0

missileHellfireMaxSlope | Offset: 8377F614

missileHellfireUpAccel | Offset: 8377F658

missileJavAccelClimb | Offset: 8377FA10

missileJavAccelDescend | Offset: 8377F878

missileJavClimbAngleDirect | Offset: 8377F6E0

missileJavClimbAngleTop | Offset: 8377F724

missileJavClimbCeilingDirect | Offset: 8377F768

missileJavClimbCeilingTop | Offset: 8377F7AC

missileJavClimbHeightDirect | Offset: 8377F69C

missileJavClimbHeightTop | Offset: 8377F9CC

missileJavClimbToOwner | Offset: 8377F944

missileJavDuds | Offset: 8377F988

missileJavSpeedLimitClimb | Offset: 8377FA54

missileJavSpeedLimitDescend | Offset: 8377F8BC

missileJavTurnDecel | Offset: 8377F900

missileJavTurnRateDirect | Offset: 8377F7F0

missileJavTurnRateTop | Offset: 8377F834

missileMacross | Offset: 8377FBEC

missileRemoteFOV | Offset: 83776044

missileRemoteSpeedDown | Offset: 8377FB64

missileRemoteSpeedTargetRange | Offset: 8377FADC

missileRemoteSpeedUp | Offset: 8377FB20

missileRemoteSteerPitchRange | Offset: 83778310

missileRemoteSteerPitchRate | Offset: 83778354

missileRemoteSteerYawRate | Offset: 83778398

missileWaterMaxDepth | Offset: 8377FA98

monkeytoy | Offset: 8376F35C

motd | Offset: 8376FF50

motionTrackerBlurDuration | Offset: 83774C58

motionTrackerCenterX | Offset: 83774CE0

motionTrackerCenterY | Offset: 83774D24

motionTrackerPingFadeTime | Offset: 83774BD0

motionTrackerPingPitchAddPerEnemy | Offset: 83774DF0

motionTrackerPingPitchBase | Offset: 83774D68

motionTrackerPingPitchNearby | Offset: 83774DAC

motionTrackerPingSize | Offset: 83774C9C

motionTrackerSweepSpeed | Offset: 83774C14

name | Offset: 8376FDFC

net_ip | Offset: 8376F180

net_port | Offset: 8376F1C4

newsFeed_updateInterval | Offset: 8376C8DC

nextmap | Offset: 8376EE94

nightVisionDisableEffects | Offset: 837751A8

nightVisionFadeInOutTime | Offset: 83775120

nightVisionPowerOnTime | Offset: 83775164

objectiveFontSize | Offset: 83775E24

objectiveTextOffsetY | Offset: 83775E68

onlinegame | Offset: 8376F4B0

onlinegame 0 | Offset: 8377CE80

onlinevault_active | Offset: 8376DD0C

onlinevault_maxslots_sub0 | Offset: 8376DD50

onlinevault_maxslots_sub1 | Offset: 8376DD94

onlinevault_maxslots_sub2 | Offset: 8376DDD8

overrideNVGModelWithKnife | Offset: 83772BF0

painReverbDryLevel | Offset: 83770C98

painReverbRoomType | Offset: 83770C54

painReverbWetLevel | Offset: 83770CDC

painVisionLerpOutRate | Offset: 83770C10

painVisionTriggerHealth | Offset: 83770BCC

party_alternateMapVoteStatus | Offset: 8376BCE8

party_firstSubpartyIndex | Offset: 8376C16C

party_followPartyHostOutOfGames | Offset: 8376C27C

party_gamesize | Offset: 8376BD70

party_gametype | Offset: 8376BD2C

party_IsLocalClientSelected | Offset: 8376C0A0

party_kickplayerquestion | Offset: 8376BE80

party_lobbyPlayerCount | Offset: 8376BEC4

party_mapname | Offset: 8376BDB4

party_mapvote_entrya_mapname | Offset: 8376BDF8

party_mapvote_entryb_mapname | Offset: 8376BE3C

party_matchedPlayerCount | Offset: 8376BF90

party_maxplayers | Offset: 8376BBD8

party_maxPrivatePartyPlayers | Offset: 8376C1B0

party_maxTeamDiff | Offset: 8376BFD4

party_membersMissingMapPack | Offset: 8376C1F4

party_minLobbyTime | Offset: 8376C018

party_minplayers | Offset: 8376BB94

party_nextMapVoteStatus | Offset: 8376BCA4

party_partyPlayerCount | Offset: 8376BF08

party_playervisible | Offset: 8376C05C

party_selectedIndex | Offset: 8376C0E4

party_selectedIndexChangedTime | Offset: 8376C128

party_statusString | Offset: 8376C238

party_teambased | Offset: 8376BF4C

party_teamsVisible | Offset: 8376BC1C

party_timer | Offset: 8376BC60

partyChatDisallowed | Offset: 8376CF80

partyChatDisconnectTimer | Offset: 8376CFC4

partymigrate_broadcast_interval | Offset: 8376C304

partymigrate_makeHostTimeout | Offset: 8376C3D0

partymigrate_selectiontime | Offset: 8376C2C0

partymigrate_timeout | Offset: 8376C348

partymigrate_timeoutmax | Offset: 8376C38C

password | Offset: 8376FEC8

past_title_data_active | Offset: 8376DEA4

past_title_data_read_failure_interval_hours | Offset: 8376DEE8

past_title_data_read_success_interval_hours | Offset: 8376DF2C

perk_armorPiercingDamage | Offset: 83767200

perk_blastShield | Offset: 837671BC

perk_bulletPenetrationMultiplier | Offset: 837785FC

perk_diveDistanceCheck | Offset: 837787D8

perk_diveGravityScale | Offset: 837788E8

perk_diveVelocity | Offset: 83778794

perk_diveViewRollResetSpeed | Offset: 837788A4

perk_diveViewRollSpeed | Offset: 83778860

perk_diveViewRollTarget | Offset: 8377881C

perk_extendedMagsMGAmmo | Offset: 83778970

perk_extendedMagsPistolAmmo | Offset: 83778A3C

perk_extendedMagsRifleAmmo | Offset: 8377892C

perk_extendedMagsSMGAmmo | Offset: 837789B4

perk_extendedMagsSpreadAmmo | Offset: 837789F8

perk_extraBreath | Offset: 83778574

perk_fastSnipeScale | Offset: 83778B08

perk_footstepVolumeAlly | Offset: 83778C18

perk_footstepVolumeEnemy | Offset: 83778C5C

perk_footstepVolumePlayer | Offset: 83778BD4

perk_grenadeDeath | Offset: 83778640

perk_improvedExtraBreath | Offset: 837785B8

perk_lightWeightViewBobScale | Offset: 83778A80

perk_parabolicAngle | Offset: 837786C8

perk_parabolicIcon | Offset: 8377870C

perk_parabolicRadius | Offset: 83778684

perk_quickDrawSpeedScale | Offset: 83778AC4

perk_scavengerMode | Offset: 83767178

perk_sprintMultiplier | Offset: 83778750

perk_sprintRecoveryMultiplierActual | Offset: 83778B4C

perk_sprintRecoveryMultiplierVisual | Offset: 83778B90

perk_weapRateMultiplier | Offset: 83778530

perk_weapReloadMultiplier | Offset: 837784EC

perk_weapSpreadMultiplier | Offset: 837784A8

phys_autoDisableAngular | Offset: 8377B3AC

phys_autoDisableFastAngular | Offset: 8377B478

phys_autoDisableFastLinear | Offset: 8377B434

phys_autoDisableFastTime | Offset: 8377B4BC

phys_autoDisableLinear | Offset: 8377B368

phys_autoDisableTime | Offset: 8377B3F0

phys_bulletSpinScale | Offset: 8377B214

phys_bulletUpBias | Offset: 8377B1D0

phys_cfm | Offset: 8377AFB0

phys_collUseEntities | Offset: 8377B324

phys_contact_cfm | Offset: 8377B500

phys_contact_cfm_ragdoll | Offset: 8377B588

phys_contact_cfm_vehicle | Offset: 8377B610

phys_contact_cfm_vehicleSoft | Offset: 8377B698

phys_contact_erp | Offset: 8377B544

phys_contact_erp_ragdoll | Offset: 8377B5CC

phys_contact_erp_vehicle | Offset: 8377B654

phys_contact_erp_vehicleSoft | Offset: 8377B6DC

phys_csl | Offset: 8377B104

phys_dragAngular | Offset: 8377B874

phys_dragLinear | Offset: 8377B830

phys_erp | Offset: 8377AFF4

phys_frictionScale | Offset: 8377B7EC

phys_gravity | Offset: 8377B148

phys_gravity_ragdoll | Offset: 8377B18C

phys_gravityChangeWakeupRadius | Offset: 8377B8FC

phys_jitterMaxMass | Offset: 8377B8B8

phys_joint_cfm | Offset: 8377B720

phys_joint_stop_cfm | Offset: 8377B764

phys_joint_stop_erp | Offset: 8377B7A8

phys_jointPullThreshold | Offset: 8377B940

phys_mcv | Offset: 8377B038

phys_mcv_ragdoll | Offset: 8377B07C

phys_mcv_vehicle | Offset: 8377B0C0

phys_noIslands | Offset: 8377B2E0

phys_qsi | Offset: 8377B258

phys_reorderConst | Offset: 8377B29C

phys_worker_cmds | Offset: 8377AF6C

physVeh_collideWithClipOnly | Offset: 8377BB60

physVeh_explodeForce | Offset: 8377BA50

physVeh_explodeSpinScale | Offset: 8377BA94

physVeh_jump | Offset: 8377BBA4

physVeh_minImpactMomentum | Offset: 8377B9C8

physVeh_pathConstraintCfm | Offset: 8377BAD8

physVeh_pathConstraintErp | Offset: 8377BB1C

physVeh_slideReductionForHighSpeed | Offset: 8377BA0C

physVeh_StepsPerFrame | Offset: 8377B984

pickupPrints | Offset: 8377DE70

ping_default_min | Offset: 83761A58

ping_increment | Offset: 83761A14

ping_searches_per | Offset: 837619D0

player_breath_snd_delay | Offset: 83777760

player_breath_snd_lerp | Offset: 8377771C

player_dmgtimer_flinchTime | Offset: 837779C4

player_dmgtimer_maxTime | Offset: 8377793C

player_dmgtimer_stumbleTime | Offset: 83777980

player_dmgtimer_timePerPoint | Offset: 837778F8

player_lean_rotate_crouch_left | Offset: 83776FAC

player_lean_rotate_crouch_right | Offset: 83776FF0

player_lean_rotate_left | Offset: 83776F24

player_lean_rotate_right | Offset: 83776F68

player_lean_shift_crouch_left | Offset: 83776E9C

player_lean_shift_crouch_right | Offset: 83776EE0

player_lean_shift_left | Offset: 83776E14

player_lean_shift_right | Offset: 83776E58

player_MGUseRadius | Offset: 8377DA30

player_moveThreshhold | Offset: 837777E8

player_runThreshhold | Offset: 837777A4

player_spectateSpeedScale | Offset: 83777870

player_strafeAnimCosAngle | Offset: 8377782C

player_stunWhiteFlash | Offset: 8377DD60

player_throwbackInnerRadius | Offset: 8377D964

player_throwbackOuterRadius | Offset: 8377D9A8

player_turnAnims | Offset: 837778B4

player_useRadius | Offset: 8377D9EC

playercard_cache_download_max_retry_time | Offset: 8376E080

playercard_cache_download_retry_step | Offset: 8376E0C4

playercard_cache_upload_max_retry_time | Offset: 8376DFF8

playercard_cache_upload_retry_step | Offset: 8376E03C

playercard_cache_validity_life | Offset: 8376DFB4

playerLBFetchInterval | Offset: 83766584

playlist | Offset: 8376F46C

playlistAggrFilename | Offset: 83761FEC

playlistFilename | Offset: 83761FA8

playListUpdateCheckMinutes | Offset: 83762030

pm_gamesetup_mode_altmodes | Offset: 8376E108

pm_gamesetup_mode_altmodes_dropzone | Offset: 8376E14C

pm_gamesetup_mode_altmodes_gungame | Offset: 8376E218

pm_gamesetup_mode_altmodes_infected | Offset: 8376E25C

pm_gamesetup_mode_altmodes_jug | Offset: 8376E1D4

pm_gamesetup_mode_altmodes_oneinthechamber | Offset: 8376E2A0

pm_gamesetup_mode_altmodes_teamjug | Offset: 8376E190

pm_gamesetup_options_createdefaultclass | Offset: 8376E2E4

pm_gamesetup_options_customclassrestrictions | Offset: 8376E328

prestige_shop_active | Offset: 8376E36C

profileMenuOption_blacklevel | Offset: 837703D4

profileMenuOption_gamma | Offset: 83770390

profileMenuOption_offensiveContentMode | Offset: 83770528

profileMenuOption_safeAreaHorz | Offset: 8377045C

profileMenuOption_safeAreaVert | Offset: 837704A0

profileMenuOption_sensitivity | Offset: 837704E4

profileMenuOption_volume | Offset: 83770418

protocol | Offset: 8376EA98

pt_AdjustableQoSbitsPerSec | Offset: 8376B8EC

pt_allMembersDoQoS | Offset: 8376B424

pt_allMembersDoQoSTimeout | Offset: 8376B468

pt_connectAttempts | Offset: 8376B798

pt_connectTimeout | Offset: 8376B7DC

pt_currentSearchTier | Offset: 8376BAC8

pt_defaultSearchTier | Offset: 8376BA84

pt_GameQoSbitsMinOpenSlots | Offset: 8376B974

pt_GameQoSbitsPerSecMax | Offset: 8376B9FC

pt_GameQoSbitsPerSecMin | Offset: 8376B9B8

pt_gameStartTimerLength | Offset: 8376B5BC

pt_LobbyQoSbitsPerSec | Offset: 8376B930

pt_maxSearchTier | Offset: 8376BB0C

pt_memberTimeout | Offset: 8376B820

pt_migrateBeforeAdvertise | Offset: 8376BA40

pt_msPerTier | Offset: 8376BB50

pt_percentUnacceptableQoS | Offset: 8376B8A8

pt_pregameStartTimerLength | Offset: 8376B600

pt_rejoin | Offset: 8376B3E0

pt_reservedAnonymousSlotTime | Offset: 8376B4AC

pt_reservedCommittedSlotTime | Offset: 8376B534

pt_reservedJoiningSlotTime | Offset: 8376B4F0

pt_searchConnectAttempts | Offset: 8376B754

pt_searchPauseTime | Offset: 8376B6CC

pt_searchRandomDelay | Offset: 8376B710

pt_searchResultsLifetime | Offset: 8376B644

pt_searchResultsMin | Offset: 8376B688

pt_startAllowingUnacceptableQos | Offset: 8376B864

pt_stillConnectingWaitTime | Offset: 8376B578

r_atlasAnimFPS | Offset: 837657F8

r_blacklevel | Offset: 837631B8

r_blur | Offset: 83764D58

r_brightness | Offset: 83765198

r_cacheModelLighting | Offset: 83763B48

r_cacheSModelLighting | Offset: 83763B04

r_charLightAmbient | Offset: 83763818

r_clear | Offset: 83764120

r_clearColor | Offset: 83764164

r_clearColor2 | Offset: 837641A8

r_cmdbuf_worker | Offset: 83764098

r_colorMap | Offset: 837635B4

r_contrast | Offset: 83765154

r_debugLineWidth | Offset: 837639B0

r_depthPrepassFar | Offset: 837645A4

r_desaturation | Offset: 837651DC

r_detailMap | Offset: 837635F8

r_diffuseColorScale | Offset: 83763708

r_distortion | Offset: 83764D9C

r_dlightLimit | Offset: 837641EC

r_dof_bias | Offset: 837656E8

r_dof_enable | Offset: 83765440

r_dof_farBlur | Offset: 8376550C

r_dof_farEnd | Offset: 837656A4

r_dof_farStart | Offset: 83765660

r_dof_nearBlur | Offset: 837654C8

r_dof_nearEnd | Offset: 8376561C

r_dof_nearStart | Offset: 837655D8

r_dof_tweak | Offset: 83765484

r_dof_viewModelEnd | Offset: 83765594

r_dof_viewModelStart | Offset: 83765550

r_drawWater | Offset: 837642B8

r_envMapExponent | Offset: 83763E78

r_envMapMaxIntensity | Offset: 83763E34

r_envMapMinIntensity | Offset: 83763DF0

r_envMapOverride | Offset: 83763DAC

r_envMapSunIntensity | Offset: 83763EBC

r_filmAltShader | Offset: 83765088

r_filmTweakBrightness | Offset: 83765220

r_filmTweakContrast | Offset: 83765110

r_filmTweakDarkTint | Offset: 83765374

r_filmTweakDesaturation | Offset: 83765264

r_filmTweakDesaturationDark | Offset: 837652A8

r_filmTweakEnable | Offset: 837650CC

r_filmTweakHeroSaturation | Offset: 837652EC

r_filmTweakInvert | Offset: 83765330

r_filmTweakLightTint | Offset: 837653FC

r_filmTweakMediumTint | Offset: 837653B8

r_filmUseTweaks | Offset: 83765044

r_fog | Offset: 8376341C

r_fog_depthhack_scale | Offset: 83763460

r_forceLod | Offset: 837646F8

r_fullbright | Offset: 83763350

r_fullscreen | Offset: 837630EC

r_gamma | Offset: 83763130

r_glow | Offset: 83764E68

r_glow_allowed | Offset: 83764DE0

r_glow_allowed_script_forced | Offset: 83764E24

r_glowTweakBloomCutoff | Offset: 83764FBC

r_glowTweakBloomDesaturation | Offset: 83765000

r_glowTweakBloomIntensity0 | Offset: 83764F78

r_glowTweakEnable | Offset: 83764EF0

r_glowTweakRadius0 | Offset: 83764F34

r_glowUseTweaks | Offset: 83764EAC

r_heroLighting | Offset: 83763C9C

r_highLodDist | Offset: 837645E8

r_ignore | Offset: 837630A8

r_ignorehwgamma | Offset: 83763174

r_inGameVideo | Offset: 8376FB10

r_lightCacheLessFrequentMaxDistance | Offset: 83763D24

r_lightCacheLessFrequentPeriod | Offset: 83763CE0

r_lightGridContrast | Offset: 83763C58

r_lightGridEnableTweaks | Offset: 83763B8C

r_lightGridIntensity | Offset: 83763C14

r_lightGridUseTweakedValues | Offset: 83763BD0

r_lightMap | Offset: 83763570

r_lockPvs | Offset: 837642FC

r_lowestLodDist | Offset: 837646B4

r_lowLodDist | Offset: 83764670

r_mediumLodDist | Offset: 8376462C

r_normalMap | Offset: 8376363C

r_outdoorFeather | Offset: 83765770

r_pixelShaderGPRReallocation | Offset: 8376572C

r_polygonOffsetBias | Offset: 837634E8

r_polygonOffsetBiasMult | Offset: 8376352C

r_polygonOffsetScale | Offset: 837634A4

r_portalBevels | Offset: 83764384

r_portalBevelsOnly | Offset: 837643C8

r_portalMinClipArea | Offset: 83764494

r_portalMinRecurseDepth | Offset: 837644D8

r_portalWalkLimit | Offset: 83764450

r_primaryLightTweakDiffuseStrength | Offset: 83763790

r_primaryLightTweakSpecularStrength | Offset: 837637D4

r_primaryLightUseTweaks | Offset: 8376374C

r_resampleScene | Offset: 8376396C

r_scaleViewport | Offset: 83763F00

r_screenFilterQuads | Offset: 83764D14

r_showFbColorDebug | Offset: 8376451C

r_showFloatZDebug | Offset: 83764560

r_showLightGrid | Offset: 83763A7C

r_showMissingLightGrid | Offset: 83763AC0

r_showModelLightingLowWaterMark | Offset: 83763D68

